"","sample","num_reads","V3"
"1","PIVUS003","48",""
"2","PIVUS004","95","47"
"3","PIVUS005","58",""
"4","PIVUS006","69","11"
"5","PIVUS007","59",""
"6","PIVUS008","61","2"
"7","PIVUS009","63",""
"8","PIVUS010","85","22"
"9","PIVUS011","51",""
"10","PIVUS012","69","18"
"11","PIVUS013","51",""
"12","PIVUS014","76","25"
"13","PIVUS017","85",""
"14","PIVUS018","40","-45"
"15","PIVUS019","43",""
"16","PIVUS020","80","37"
"17","PIVUS021","56",""
"18","PIVUS022","46","-10"
"19","PIVUS023","95",""
"20","PIVUS024","35","-60"
"21","PIVUS027","91",""
"22","PIVUS028","107","16"
"23","PIVUS029","59",""
"24","PIVUS030","104","45"
"25","PIVUS031","54",""
"26","PIVUS032","76","22"
"27","PIVUS033","106",""
"28","PIVUS034","86","-20"
"29","PIVUS035","83",""
"30","PIVUS036","52","-31"
"31","PIVUS037","92",""
"32","PIVUS038","77","-15"
"33","PIVUS039","63",""
"34","PIVUS041","84",""
"35","PIVUS042","103","19"
"36","PIVUS043","68",""
"37","PIVUS044","48","-20"
"38","PIVUS045","82",""
"39","PIVUS046","91","9"
"40","PIVUS047","97",""
"41","PIVUS048","86","-11"
"42","PIVUS049","115",""
"43","PIVUS050","112","-3"
"44","PIVUS051","65",""
"45","PIVUS052","75","10"
"46","PIVUS053","96",""
"47","PIVUS054","47","-49"
"48","PIVUS055","70",""
"49","PIVUS056","87","17"
"50","PIVUS057","73",""
"51","PIVUS058","58","-15"
"52","PIVUS059","114",""
"53","PIVUS060","39","-75"
"54","PIVUS061","77",""
"55","PIVUS062","73","-4"
"56","PIVUS063","48",""
"57","PIVUS064","84","36"
"58","PIVUS065","96",""
"59","PIVUS066","91","-5"
"60","PIVUS067","103",""
"61","PIVUS068","132","29"
"62","PIVUS069","64",""
"63","PIVUS070","59","-5"
"64","PIVUS071","68",""
"65","PIVUS072","85","17"
"66","PIVUS073","45",""
"67","PIVUS074","64","19"
"68","PIVUS075","85",""
"69","PIVUS076","93","8"
"70","PIVUS077","58",""
"71","PIVUS078","76","18"
"72","PIVUS079","52",""
"73","PIVUS080","89","37"
"74","PIVUS081","71",""
"75","PIVUS082","96","25"
"76","PIVUS085","63",""
"77","PIVUS086","57","-6"
"78","PIVUS087","48",""
"79","PIVUS088","72","24"
"80","PIVUS089","65",""
"81","PIVUS090","55","-10"
"82","PIVUS091","84",""
"83","PIVUS092","78","-6"
"84","PIVUS093","56",""
"85","PIVUS094","79","23"
"86","PIVUS095","61",""
"87","PIVUS096","81","20"
"88","PIVUS097","68",""
"89","PIVUS098","78","10"
"90","PIVUS099","92",""
"91","PIVUS100","60","-32"
"92","PIVUS101","90",""
"93","PIVUS102","67","-23"
"94","PIVUS103","63",""
"95","PIVUS104","62","-1"
"96","PIVUS105","49",""
"97","PIVUS106","55","6"
"98","PIVUS107","87",""
"99","PIVUS108","71","-16"
"100","PIVUS109","52",""
"101","PIVUS110","59","7"
"102","PIVUS111","69",""
"103","PIVUS112","41","-28"
"104","PIVUS113","90",""
"105","PIVUS114","69","-21"
"106","PIVUS115","66",""
"107","PIVUS116","68","2"
"108","PIVUS117","100",""
"109","PIVUS118","81","-19"
"110","PIVUS119","83",""
"111","PIVUS120","71","-12"
"112","PIVUS121","58",""
"113","PIVUS122","89","31"
"114","PIVUS123","91",""
"115","PIVUS124","134","43"
"116","PIVUS125","69",""
"117","PIVUS126","103","34"
"118","PIVUS127","105",""
"119","PIVUS128","70","-35"
"120","PIVUS129","95",""
"121","PIVUS130","80","-15"
"122","PIVUS131","143",""
"123","PIVUS132","154","11"
"124","PIVUS133","53",""
"125","PIVUS134","91","38"
"126","PIVUS135","73",""
"127","PIVUS136","61","-12"
"128","PIVUS137","43",""
"129","PIVUS138","61","18"
